symbol,name,board,is_st
000011.SZ,深物业A,main,0
000017.SZ,深中华A,main,0
000021.SZ,深科技,main,0
000035.SZ,中国天楹,main,0
000048.SZ,京基智农,main,0
000417.SZ,合百集团,main,0
000426.SZ,兴业银锡,main,0
000510.SZ,新金路,main,0
000533.SZ,顺钠股份,main,0
000566.SZ,海南海药,main,0
000571.SZ,新大洲A,main,0
000595.SZ,新能股份,main,0
000603.SZ,盛达资源,main,0
000608.SZ,阳光股份,main,0
000636.SZ,风华高科,main,0
000657.SZ,中钨高新,main,0
000668.SZ,荣丰控股,main,0
000670.SZ,盈方微,main,0
000676.SZ,智度股份,main,0
000688.SZ,国城矿业,main,0
000722.SZ,湖南发展,main,0
000779.SZ,甘咨询,main,0
000803.SZ,山高环能,main,0
000811.SZ,冰轮环境,main,0
000815.SZ,美利云,main,0
000862.SZ,银星能源,main,0
000889.SZ,中嘉博创,main,0
000938.SZ,紫光股份,main,0
000977.SZ,浪潮信息,main,0
001208.SZ,华菱线缆,main,0
001229.SZ,魅视科技,main,0
001258.SZ,立新能源,main,0
001337.SZ,四川黄金,main,0
001382.SZ,新亚电缆,main,0
001388.SZ,信通电子,main,0
001389.SZ,广合科技,main,0
001399.SZ,惠科股份,main,0
002008.SZ,大族激光,main,0
002012.SZ,凯恩股份,main,0
002025.SZ,航天电器,main,0
002068.SZ,黑猫股份,main,0
002080.SZ,中材科技,main,0
002083.SZ,孚日股份,main,0
002112.SZ,三变科技,main,0
002119.SZ,康强电子,main,0
002138.SZ,顺络电子,main,0
002141.SZ,贤丰控股,main,0
002156.SZ,通富微电,main,0
002165.SZ,红 宝 丽,main,0
002167.SZ,东方锆业,main,0
002173.SZ,创新医疗,main,0
002185.SZ,华天科技,main,0
002189.SZ,中光学,main,0
002197.SZ,证通电子,main,0
002208.SZ,合肥城建,main,0
002213.SZ,大为股份,main,0
002218.SZ,拓日新能,main,0
002229.SZ,鸿博股份,main,0
002240.SZ,盛新锂能,main,0
002265.SZ,建设工业,main,0
002273.SZ,水晶光电,main,0
002281.SZ,光迅科技,main,0
002298.SZ,中电鑫龙,main,0
002300.SZ,太阳电缆,main,0
002303.SZ,美盈森,main,0
002326.SZ,永太科技,main,0
002348.SZ,高乐股份,main,0
002353.SZ,杰瑞股份,main,0
002358.SZ,森源电气,main,0
002371.SZ,北方华创,main,0
002374.SZ,中锐股份,main,0
002379.SZ,宏桥控股,main,0
002384.SZ,东山精密,main,0
002388.SZ,新亚制程,main,0
002396.SZ,星网锐捷,main,0
002407.SZ,多氟多,main,0
002409.SZ,雅克科技,main,0
