symbol,name,board,is_st
000001.SZ,平安银行,main,0
000002.SZ,万 科Ａ,main,0
000004.SZ,国华退,main,0
000006.SZ,深振业Ａ,main,0
000007.SZ,全新好,main,0
000008.SZ,神州高铁,main,0
000009.SZ,中国宝安,main,0
000010.SZ,*ST美丽,main,1
000011.SZ,深物业A,main,0
000012.SZ,南 玻Ａ,main,0
000014.SZ,沙河股份,main,0
000016.SZ,*ST康佳A,main,1
000017.SZ,深中华A,main,0
000019.SZ,深粮控股,main,0
000020.SZ,深华发Ａ,main,0
000021.SZ,深科技,main,0
000025.SZ,特 力Ａ,main,0
000026.SZ,飞亚达,main,0
000027.SZ,深圳能源,main,0
000028.SZ,国药一致,main,0
000029.SZ,深深房Ａ,main,0
000030.SZ,富奥股份,main,0
000031.SZ,大悦城,main,0
000032.SZ,深桑达Ａ,main,0
000034.SZ,神州数码,main,0
000035.SZ,中国天楹,main,0
000036.SZ,华联控股,main,0
000037.SZ,深南电A,main,0
000039.SZ,中集集团,main,0
000042.SZ,中洲控股,main,0
000045.SZ,深纺织Ａ,main,0
000048.SZ,京基智农,main,0
000049.SZ,德赛电池,main,0
000050.SZ,深天马Ａ,main,0
000055.SZ,方大集团,main,0
000056.SZ,*ST皇庭,main,1
000058.SZ,深 赛 格,main,0
000059.SZ,华锦股份,main,0
000060.SZ,中金岭南,main,0
000061.SZ,农 产 品,main,0
000062.SZ,深圳华强,main,0
000063.SZ,中兴通讯,main,0
000065.SZ,北方国际,main,0
000066.SZ,中国长城,main,0
000068.SZ,华控赛格,main,0
000069.SZ,华侨城Ａ,main,0
000070.SZ,特发信息,main,0
000078.SZ,ST海王,main,1
000088.SZ,盐 田 港,main,0
000089.SZ,深圳机场,main,0
000090.SZ,天健集团,main,0
000096.SZ,广聚能源,main,0
000099.SZ,中信海直,main,0
000100.SZ,TCL科技,main,0
000151.SZ,中成股份,main,0
000153.SZ,丰原药业,main,0
000155.SZ,川能动力,main,0
000156.SZ,华数传媒,main,0
000157.SZ,中联重科,main,0
000158.SZ,常山北明,main,0
000159.SZ,国际实业,main,0
000166.SZ,申万宏源,main,0
000301.SZ,东方盛虹,main,0
000333.SZ,美的集团,main,0
000338.SZ,潍柴动力,main,0
000400.SZ,许继电气,main,0
000401.SZ,金隅冀东,main,0
000402.SZ,金 融 街,main,0
000403.SZ,派林生物,main,0
000404.SZ,长虹华意,main,0
000407.SZ,胜利股份,main,0
000408.SZ,藏格矿业,main,0
000409.SZ,云鼎科技,main,0
000410.SZ,沈阳机床,main,0
000411.SZ,英特集团,main,0
000415.SZ,渤海租赁,main,0
000417.SZ,合百集团,main,0
000419.SZ,通程控股,main,0
000420.SZ,吉林化纤,main,0
000421.SZ,南京公用,main,0
000422.SZ,湖北宜化,main,0
000423.SZ,东阿阿胶,main,0
000425.SZ,徐工机械,main,0
000426.SZ,兴业银锡,main,0
000428.SZ,华天酒店,main,0
000429.SZ,粤高速Ａ,main,0
000430.SZ,张家界,main,0
000488.SZ,ST晨鸣,main,1
000498.SZ,山东路桥,main,0
000501.SZ,武商集团,main,0
000503.SZ,国新健康,main,0
000504.SZ,南华生物,main,0
000505.SZ,京粮控股,main,0
000506.SZ,招金黄金,main,0
000507.SZ,珠海港,main,0
000509.SZ,华塑控股,main,0
000510.SZ,新金路,main,0
000513.SZ,丽珠集团,main,0
000514.SZ,渝 开 发,main,0
000516.SZ,国际医学,main,0
000517.SZ,荣安地产,main,0
000518.SZ,四环生物,main,0
000519.SZ,中兵红箭,main,0
000520.SZ,凤凰航运,main,0
000521.SZ,长虹美菱,main,0
000523.SZ,红棉股份,main,0
000524.SZ,岭南控股,main,0
000525.SZ,红太阳,main,0
000526.SZ,学大教育,main,0
000528.SZ,柳 工,main,0
000529.SZ,广弘控股,main,0
000530.SZ,冰山冷热,main,0
000531.SZ,穗恒运Ａ,main,0
000532.SZ,华金资本,main,0
000533.SZ,顺钠股份,main,0
000534.SZ,万泽股份,main,0
000536.SZ,华映科技,main,0
000537.SZ,绿发电力,main,0
000538.SZ,云南白药,main,0
000539.SZ,粤电力Ａ,main,0
000541.SZ,佛山照明,main,0
000543.SZ,皖能电力,main,0
000544.SZ,中原环保,main,0
000545.SZ,金浦钛业,main,0
000546.SZ,金圆股份,main,0
000547.SZ,航天发展,main,0
000548.SZ,湖南投资,main,0
000550.SZ,江铃汽车,main,0
000551.SZ,创元科技,main,0
000552.SZ,甘肃能化,main,0
000553.SZ,安道麦A,main,0
000554.SZ,泰山石油,main,0
000555.SZ,神州信息,main,0
000557.SZ,西部创业,main,0
000558.SZ,天府文旅,main,0
000559.SZ,万向钱潮,main,0
000560.SZ,我爱我家,main,0
000561.SZ,烽火电子,main,0
000563.SZ,陕国投Ａ,main,0
000564.SZ,供销大集,main,0
000565.SZ,渝三峡Ａ,main,0
000566.SZ,海南海药,main,0
000567.SZ,海德股份,main,0
000568.SZ,泸州老窖,main,0
000570.SZ,苏常柴Ａ,main,0
000571.SZ,新大洲A,main,0
