date,initial_cash,cash,equity,daily_pnl,daily_return,total_return,open_positions,opened_positions,closed_trades,phase,skipped,note
2026-06-17,10000.0,2620.112800000001,9979.1128,-20.88719999999921,-0.0020887199999999,-0.0020887199999999,3,3,0,buy,,
2026-06-18,10000.0,7212.124243200001,10252.1242432,273.0114431999991,0.0273582881235693,0.02521242432,1,0,2,sell-morning,,
2026-06-18,10000.0,10301.0980824,10301.0980824,321.98528239999905,0.0322659227180996,0.0301098082399999,0,0,3,sell-force,,
2026-06-18,10000.0,3125.3740824000006,10280.3740824,301.2612824000007,0.0301891849944817,0.0280374082400001,3,3,3,buy,,
2026-06-22,10000.0,10860.2891864,10860.2891864,579.9151040000015,0.056409922377515,0.08602891864,0,0,3,sell-morning,,
2026-06-22,10000.0,366.913186400001,10836.9131864,556.5391040000013,0.0541360751602216,0.0836913186400001,3,3,3,buy,,
2026-06-23,10000.0,6278.207858,10779.207858,-57.705328399999416,-0.0053248861006303,0.0779207857999999,1,0,2,sell-morning,,
2026-06-23,10000.0,10762.366156,10762.366156,-74.54703039999913,-0.0068789911959019,0.0762366156,0,0,3,sell-force,,
2026-06-24,10000.0,10762.366156,10762.366156,0.0,0.0,0.0762366156,0,0,0,sell-force,no_positions,sell-force 无持仓，本阶段无需卖出
2026-06-24,10000.0,166.90855600000123,10738.908556000002,-23.45759999999791,-0.0021795950500086,0.0738908556000002,3,3,0,buy,,
2026-06-25,10000.0,10222.803389600002,10222.803389600002,-516.1051664000006,-0.04805936876254,0.0222803389600001,0,0,3,sell-morning,,
2026-06-25,10000.0,10222.803389600002,10222.803389600002,-516.1051664000006,-0.04805936876254,0.0222803389600001,0,0,3,sell-force,no_positions,sell-force 无持仓，本阶段无需卖出
2026-06-25,10000.0,693.1977896000028,10200.197789600004,-538.7107663999996,-0.0501643871526416,0.0200197789600002,3,3,3,buy,,
2026-06-26,10000.0,9881.221975600003,9881.221975600003,-318.97581400000126,-0.031271532236877314,-0.011877802439999696,0,0,3,sell-morning,,
