date,symbol,name,board,close,score,turnover,ret_3,ret_5,volume_ratio_5,market_limit_hits,market_limit_hit_rate,market_failed_limit_hits,board_limit_hits,limit_hits_5,failed_limit_hits_5,consecutive_limit_hits,suggest_reason
2026-08-05,003032.SZ,传智教育,main,11.73,0.663837628876151,0.0,0.3308364544319602,0.6102719033232629,1.289173604947359,198,0.0358825661471547,45,165,5.0,0.0,7.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,000533.SZ,顺钠股份,main,12.6,0.5761705879373197,0.0,0.1538461538461537,0.0899653979238752,0.9120265161984022,198,0.0358825661471547,45,165,3.0,1.0,2.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,001331.SZ,胜通能源,main,47.09,0.5657953453694009,0.0,0.2692722371967655,0.0963911525029104,1.5300021868430114,198,0.0358825661471547,45,165,3.0,1.0,3.0,成交量放大，短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002827.SZ,高争民爆,main,41.87,0.5487381887258849,0.0,0.3313195548489664,0.6110042323970757,3.1529109899047016,198,0.0358825661471547,45,165,5.0,0.0,5.0,成交量放大，短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002354.SZ,天娱数科,main,8.0,0.5278308803054225,0.0,0.3310810810810811,0.2648475120385232,2.1337906436815675,198,0.0358825661471547,45,165,3.0,0.0,3.0,成交量放大，短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,000595.SZ,新能股份,main,6.56,0.5257351511418026,0.0,0.3306288032454361,0.2125693160813306,1.022097507550889,198,0.0358825661471547,45,165,3.0,0.0,3.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603580.SH,艾艾精工,main,53.79,0.5038385452709123,0.0,-0.0428825622775801,0.020683111954459,0.7285820747639934,198,0.0358825661471547,45,165,2.0,0.0,1.0,市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,000815.SZ,美利云,main,18.37,0.4882359232656496,0.0,0.3311594202898551,0.1611883691529709,0.4826746517073808,198,0.0358825661471547,45,165,3.0,0.0,3.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002963.SZ,豪尔赛,main,15.99,0.475418013792654,0.0,0.3302828618968387,0.2309468822170901,1.305855807456753,198,0.0358825661471547,45,165,3.0,0.0,3.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,001229.SZ,魅视科技,main,38.48,0.4235131171466931,0.0,0.2219752302318196,0.0255863539445626,1.564646251393174,198,0.0358825661471547,45,165,2.0,0.0,2.0,成交量放大，短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,600228.SH,返利科技,main,7.83,0.4201207210231198,0.0,0.0682128240109141,0.2942148760330578,0.7992037136356845,198,0.0358825661471547,45,165,4.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,605068.SH,明新旭腾,main,21.47,0.41972214146105086,0.0,0.0427391937833898,0.2614571092831961,1.6530512993139144,198,0.0358825661471547,45,165,4.0,1.0,1.0,成交量放大，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002674.SZ,兴业科技,main,24.48,0.4131878982801442,0.0,0.1317614424410542,-0.0048780487804878,1.1079900356071557,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,601858.SH,中国科传,main,23.94,0.3959474072625356,0.0,0.2633245382585754,0.371919770773639,0.8662999999081654,198,0.0358825661471547,45,165,3.0,0.0,2.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603106.SH,恒银科技,main,9.04,0.3851749237455467,0.0,0.3313696612665684,0.3593984962406014,1.8090227084329076,198,0.0358825661471547,45,165,3.0,0.0,3.0,成交量放大，短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,000593.SZ,德龙汇能,main,20.47,0.3817244335464253,0.0,0.3309492847854354,0.1921956901572508,0.1370488487096257,198,0.0358825661471547,45,165,3.0,0.0,3.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603629.SH,利通电子,main,102.41,0.3769455328852423,0.0,0.1733501374885426,-0.0110091743119266,0.4585400018173514,198,0.0358825661471547,45,165,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603400.SH,DR华之杰,main,45.03,0.37280936033718565,0.0,-0.0059602649006621,0.0508751458576428,1.0579752197755858,198,0.0358825661471547,45,165,2.0,0.0,1.0,市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002173.SZ,创新医疗,main,20.92,0.3690750704936247,0.0,0.0981627296587928,-0.0808435852372583,0.5952997430434797,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002361.SZ,神剑股份,main,11.1,0.35845304422330987,0.0,0.2613636363636362,0.1770943796394486,2.482574806289003,198,0.0358825661471547,45,165,2.0,0.0,2.0,成交量放大，短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,605287.SH,德才股份,main,37.8,0.3508533105441528,0.0,0.1977186311787071,0.1552567237163813,1.2635296642296177,198,0.0358825661471547,45,165,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603800.SH,洪田股份,main,52.47,0.34710480035253327,0.0,0.0148936170212765,-0.1585952533675433,1.0396075773537317,198,0.0358825661471547,45,165,1.0,0.0,1.0,市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002421.SZ,达实智能,main,3.48,0.34497234883583777,0.0,0.2794117647058822,0.2428571428571428,1.7914385941330633,198,0.0358825661471547,45,165,2.0,0.0,2.0,成交量放大，短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002484.SZ,江海股份,main,59.31,0.344468936579497,0.0,0.0686486486486486,-0.0579733163913596,0.8146231221560711,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,000892.SZ,欢瑞世纪,main,4.17,0.34334205549555324,0.0,0.2447761194029849,0.3072100313479624,1.2632548271336377,198,0.0358825661471547,45,165,3.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,600105.SH,永鼎股份,main,34.29,0.34287673320288775,0.0,0.0403519417475728,0.0823863636363635,0.9774694312279522,198,0.0358825661471547,45,165,2.0,1.0,1.0,市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,003036.SZ,泰坦股份,main,45.0,0.3423361039044482,0.0,0.0989010989010987,-0.0660024906600249,0.7872301870218759,198,0.0358825661471547,45,165,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603459.SH,红板科技,main,87.64,0.33866916975441735,0.0,0.0298472385428907,-0.0102766798418971,0.9719820297299456,198,0.0358825661471547,45,165,1.0,0.0,1.0,市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603115.SH,海星股份,main,70.53,0.3378665347504969,0.0,0.1204130262112788,0.0401120778646217,0.803177911631836,198,0.0358825661471547,45,165,2.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002792.SZ,通宇通讯,main,28.75,0.33102276404333586,0.0,0.2749445676274944,0.1569416498993963,1.0433779365519773,198,0.0358825661471547,45,165,2.0,0.0,2.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603773.SH,沃格光电,main,71.43,0.3293149563328684,0.0,0.0673939031679617,-0.0900636942675158,0.6672357484952804,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603186.SH,华正新材,main,108.46,0.3254624195779995,0.0,0.065317748747667,-0.1086456278763972,0.7764581082741763,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002080.SZ,中材科技,main,44.37,0.32047778308602376,0.0,0.0481927710843372,-0.050909090909091,0.6761349717643614,198,0.0358825661471547,45,165,2.0,1.0,1.0,市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,600353.SH,旭光电子,main,23.16,0.319171294643705,0.0,0.0742115027829313,-0.0739704118352659,0.7246669646092905,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603567.SH,珍宝岛,main,6.67,0.3147727852684345,0.0,0.0988467874794067,-0.0305232558139534,0.8199107992235237,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,002428.SZ,云南锗业,main,75.19,0.3127255244460208,0.0,0.2166666666666667,0.0569299971886421,0.6513301391189429,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603061.SH,金海通,main,266.24,0.3118287457318938,0.0,0.0912369866382492,-0.040126906298446,0.6703276868703344,198,0.0358825661471547,45,165,2.0,1.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603222.SH,济民健康,main,8.67,0.3107603801753057,0.0,0.2385714285714286,0.1143958868894601,0.9679146079159486,198,0.0358825661471547,45,165,2.0,0.0,2.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
2026-08-05,603358.SH,华达科技,main,39.61,0.3096694285765411,0.0,0.118610561988139,0.0573945541911371,0.95235623517479,198,0.0358825661471547,45,165,1.0,0.0,1.0,短线动量强，市场情绪强，板块情绪强，近5日触板记忆
